GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
site/kunai2,jp.cafebabe.kunai.entries,KunaiException,0,4,0,0,0,2,0,1,0,1
site/kunai2,jp.cafebabe.kunai.entries,Name,24,26,0,4,5,7,5,6,5,4
site/kunai2,jp.cafebabe.kunai.entries,ClassName,0,7,0,0,0,2,0,1,0,1
site/kunai2,jp.cafebabe.kunai.entries,Entry,0,12,0,0,0,3,0,2,0,2
site/kunai2,jp.cafebabe.kunai.entries,PathEntry,3,56,2,2,0,11,2,7,0,7
site/kunai2,jp.cafebabe.kunai.sink.factories,GenericDataSinkFactory,0,20,0,0,0,6,0,3,0,3
site/kunai2,jp.cafebabe.kunai.sink.factories,DefaultDataSinkFactory,0,102,0,2,0,14,0,15,0,14
site/kunai2,jp.cafebabe.kunai.sink,DirectoryDataSink,0,64,0,2,0,13,0,8,0,7
site/kunai2,jp.cafebabe.kunai.sink,DataSink,15,19,0,0,4,8,1,3,1,3
site/kunai2,jp.cafebabe.kunai.sink,JarFileDataSink,7,82,0,2,2,21,0,7,0,6
site/kunai2,jp.cafebabe.kunai.sink,AbstractDataSink,4,18,1,1,1,7,1,4,0,4
site/kunai2,jp.cafebabe.kunai.sink,DataSinkHelper,3,54,0,2,1,12,1,7,1,6
site/kunai2,jp.cafebabe.kunai.sink,ClassFileDataSink,21,26,0,2,6,10,1,5,1,4
site/kunai2,jp.cafebabe.kunai.sink,WarFileDataSink,0,6,0,0,0,2,0,1,0,1
site/kunai2,jp.cafebabe.kunai.sink,DirectoryMaker,0,30,0,4,0,6,0,6,0,4
site/kunai2,jp.cafebabe.kunai.util,PathHelper,8,44,0,0,2,9,2,8,2,8
site/kunai2,jp.cafebabe.kunai.util,DirectoryRemover,2,17,1,1,0,8,1,5,0,5
site/kunai2,jp.cafebabe.kunai.util,StreamHelper,0,10,0,0,0,3,0,2,0,2
site/kunai2,jp.cafebabe.kunai.source,PathResolver,0,5,0,0,0,1,0,1,0,1
site/kunai2,jp.cafebabe.kunai.source,DataSource,0,11,0,0,0,3,0,2,0,2
site/kunai2,jp.cafebabe.kunai.source,DirectoryDataSource,0,49,0,0,0,10,0,6,0,6
site/kunai2,jp.cafebabe.kunai.source,FilteredDataSource,0,22,0,0,0,8,0,3,0,3
site/kunai2,jp.cafebabe.kunai.source,ClassNameExtractVisitor,0,25,0,0,0,7,0,3,0,3
site/kunai2,jp.cafebabe.kunai.source,WarFileDataSource,2,12,1,1,1,4,1,2,0,2
site/kunai2,jp.cafebabe.kunai.source,ClassFileDataSource,3,36,1,1,2,10,1,6,0,6
site/kunai2,jp.cafebabe.kunai.source,DirectoryTraverser,0,99,0,2,0,20,0,12,0,11
site/kunai2,jp.cafebabe.kunai.source,AbstractDataSource,0,48,0,6,0,14,0,9,0,6
